listing_id,neighbourhood,room_type,latitude,longitude,price,number_of_reviews
1302586603588261493,Bishopsworth,Entire home/apt,51.41468870480989,-2.60048545897007,NA,1
1312470245139444534,Stoke Bishop,Private room,51.491888928445434,-2.6377747123782767,57,0
16928881,Clifton,Private room,51.45705,-2.61131,48,35
1227332675077829287,Westbury-on-Trym & Henleaze,Private room,51.50084,-2.62279,39,5
1360915996449509162,Horfield,Private room,51.49437603012302,-2.593035375971818,29,1
908728694652657353,Cotham,Entire home/apt,51.46255,-2.60351,230,0
32512839,Lawrence Hill,Entire home/apt,51.45588,-2.58315,85,168
666390998732008552,Hotwells & Harbourside,Private room,51.44985,-2.61007,62,132
52979528,Bishopsworth,Private room,51.42733,-2.60925,44,24
578884462269281351,Ashley,Private room,51.47587,-2.58061,40,251
34168114,Central,Entire home/apt,51.45355,-2.5882,NA,17
4531411,Windmill Hill,Private room,51.43814468383789,-2.5913279056549072,NA,191
1353727703154986864,Central,Entire home/apt,51.4468159,-2.5987048,92,5
1363730038759624607,St George West,Private room,51.45948634608093,-2.553373254025562,48,2
663487446602496937,Southville,Private room,51.44096,-2.60506,59,32
1138247033036467346,Clifton Down,Entire home/apt,51.46964,-2.61463,NA,8
745695928028622003,Ashley,Private room,51.46491,-2.58714,30,92
11676688,Easton,Private room,51.462,-2.56193,44,57
23818554,Central,Entire home/apt,51.46387,-2.59103,185,27
25993140,Central,Entire home/apt,51.46036,-2.5935,NA,11
22957469,Eastville,Private room,51.47431,-2.55065,NA,0
1344129260862147407,Central,Entire home/apt,51.460609,-2.598422,161,2
44288816,Knowle,Private room,51.43098,-2.56988,42,19
1020202048316838885,Stockwood,Entire home/apt,51.42734,-2.55989,147,0
673729039989982374,Central,Entire home/apt,51.4473,-2.59757,126,21
1186447371042595937,Windmill Hill,Private room,51.44156,-2.57809,41,0
1284190411065181444,Frome Vale,Entire home/apt,51.48931349999999,-2.5408615,157,3
936878127090501920,Brislington East,Entire home/apt,51.43908,-2.53046,78,1
1244883433066714155,Brislington West,Entire home/apt,51.4351,-2.55306,152,0
754350085240145488,Ashley,Entire home/apt,51.46388131245152,-2.5893559497375396,114,8
1141045449003199282,Clifton Down,Private room,51.45844,-2.61138,97,0
44426766,Clifton,Entire home/apt,51.45232,-2.62218,107,19
31795832,Clifton Down,Entire home/apt,51.46252,-2.61473,424,28
1337552464778154414,Brislington West,Entire home/apt,51.44683587988226,-2.55262738877934,74,0
980337274309205471,Central,Entire home/apt,51.4539328,-2.6000476,58,6
954255953614018802,Redland,Entire home/apt,51.47589,-2.61119,164,3
833251000278976047,Ashley,Entire home/apt,51.46054,-2.58474,101,14
1318074304656424486,Windmill Hill,Entire home/apt,51.440813111923184,-2.581197034553245,95,1
8142384,Ashley,Private room,51.47105,-2.58752,NA,0
19224146,Bedminster,Private room,51.43637,-2.60992,NA,34
49320087,Bishopston & Ashley Down,Entire home/apt,51.48354,-2.5804,NA,40
50142805,Horfield,Private room,51.49398,-2.58718,NA,18
714308373733589743,Ashley,Private room,51.4691,-2.57685,NA,119
954410119163737714,Avonmouth & Lawrence Weston,Private room,51.49018,-2.67794,NA,5
947698111948652051,Clifton,Entire home/apt,51.4562,-2.61178,NA,49
1204297083658272161,St George West,Entire home/apt,51.46045,-2.55009,NA,0
793191831890981354,Brislington East,Entire home/apt,51.45127,-2.53697,122,0
1177397622159375824,Horfield,Entire home/apt,51.49507,-2.58816,36,0
954813948232419054,Clifton,Entire home/apt,51.45194,-2.61959,NA,18
